01,02,06,16,19
01,02,07,08,20
01,02,10,12,14
01,02,11,15,21
01,03,07,16,17
01,03,10,11,13
01,03,12,20,21
01,04,07,10,15
01,04,08,11,19
01,04,12,17,18
01,05,06,08,14
01,05,13,15,20
01,06,09,18,20
01,07,09,12,13
01,08,09,10,17
01,13,14,17,19
02,03,05,14,20
02,03,06,09,17
02,04,05,15,17
02,04,06,13,20
02,05,07,09,19
02,05,08,13,18
02,05,12,16,21
02,06,11,12,18
02,07,10,17,21
02,08,11,16,17
02,09,10,15,16
02,10,18,19,20
02,12,13,15,19
03,04,05,09,13
03,04,07,11,18
03,04,08,14,17
03,04,15,16,20
03,05,12,17,19
03,06,08,18,21
03,06,13,14,15
03,07,08,13,19
03,07,09,15,21
03,09,10,12,18
03,10,14,16,19
04,05,07,08,16
04,05,14,18,19
04,06,09,11,21
04,06,10,16,17
04,07,13,14,21
04,07,17,19,20
04,09,10,14,20
04,10,12,19,21
05,06,10,15,19
05,06,11,17,20
05,08,10,12,20
05,09,12,14,15
05,10,11,18,21
05,11,13,16,19
06,07,08,10,11
06,07,12,14,20
06,07,15,17,18
06,08,09,12,19
07,11,12,15,16
07,16,18,20,21
08,09,11,15,20
08,09,13,16,21
08,11,12,13,14
08,12,15,17,21
08,15,16,18,19
09,11,14,16,18
09,17,18,19,21
10,11,14,15,17
12,13,16,17,20
14,15,19,20,21
